"","taxa","count"
"3556","Cladium mariscus",3127
"10309","Pteris",3127
"1696","Boraginaceae",3124
"11903","Spirogyra",3112
"4989","Ericaceae-type",3110
"9221","Picea glauca",3096
"2375","Centaurea jacea-type",3085
"6638","Hypericum perforatum-type",3084
"401","Alisma",3074
"9225","Picea mariana-type",3049
"3880","Cornus",3048
"10137","Prunus",3037
"6520","Humulus lupulus",3025
"7509","Lycopodiaceae undiff.",3011
"12592","Trifolium-type",3005
"24","Acacia",2994
"7933","Mercurialis annua",2979
"5004","Eriogonum",2974
"4938","Erica arborea-type",2966
"7460","Lotus-type",2950
"6712","Indeterminable (degraded)",2941
"1789","Brassicaceae undiff.",2939
"7932","Mercurialis",2924
"10582","Residue",2890
"10901","Rumex acetosa/R. acetosella-type",2876
"10198","Pseudopediastrum integrum",2874
"2435","Cephalanthus",2856
"7636","Macaranga",2855
"1559","Betula pubescens",2854
"11502","Shepherdia canadensis",2842
"12973","Unknown (trilete, psilate)",2835
"10160","Prunus-type",2831
"1616","Bistorta officinalis",2827
"10863","Rubus",2813
"6863","Juglans nigra",2808
"8610","Onagraceae",2785
"12899","Unknown (monolete) undiff.",2775
"12475","Trema",2771
"12701","Typha angustifolia-type",2762
"9483","Plantago major/P. media-type",2759
"2385","Centaurea nigra-type",2757
"4358","Daucus carota",2755
"2086","Cannabis sativa",2753
"12330","Thelypteris palustris-type",2738
"8489","Number of lines",2729
"11648","Solanum dulcamara",2727
"10289","Pteridophyta",2723
"12987","Unknown (trilete) undiff.",2720
"13401","Utricularia",2704
"8316","Myriophyllum verticillatum",2683
"8943","Pediastrum duplex",2663
"9224","Picea mariana",2658
"9313","Pinus contorta-type",2653
"410","Alismataceae",2651
"3941","Corylus/Myrica",2649
"3407","Chenopodium-type",2636
"8651","Ophioglossum",2631
"9866","Polypodiophyta (monolete, verrucate)",2627
"7260","Ligustrum",2620
"10584","Restionaceae",2610
"3940","Corylus-type",2597
"8583","Olea europaea",2596
"11664","Solidago-type",2589
"4697","Dryopteris filix-mas",2579
"10401","Quercus (evergreen)",2577
"103","Acer negundo",2574
"12075","Succisa",2571
"6116","Glomus",2568
"3723","Combretaceae",2562
"959","Arceuthobium",2553
"9470","Plantago coronopus-type",2550
"10332","Pterocarya",2548
"6808","Isoëtes lacustris",2542
"11418","Selaginella rupestris",2532
"10900","Rumex acetosa/R. acetosella",2530
"1364","Avena-type",2522
"7745","Malvaceae",2517
"2393","Centaurea solstitialis-type",2510
"5632","Frangula",2501
"673","Anemone-type",2500
"9484","Plantago maritima",2488
"13476","Valerianoideae",2470
"6398","Heracleum",2466
"3726","Combretaceae/Melastomataceae",2444
"11448","Senecio",2419
"12175","Tamarix",2406
"10697","Rhus",2383
"5982","Genista-type",2369
"6525","Humulus/Cannabis-type",2368
"1048","Armeria",2362
"11084","Sambucus nigra",2362
"2076","Cannabaceae",2348
"2457","Cerastium-type",2333
"1590","Bidens-type",2330
"4884","Ephedra distachya",2328
"1777","Brasenia schreberi",2310
"4707","Dryopteris/Thelypteris",2309
"5553","Ficus",2309
"1566","Betula sect. Apterocaryon",2288
"12585","Trifolium repens-type",2288
"466","Alnus viridis subsp. fruticosa",2279
"10872","Rubus chamaemorus",2278
"10556","Rapanea",2274
"9752","Polygonaceae undiff.",2270
"985","Arecaceae",2269
"6043","Geraniaceae",2254
"11221","Scabiosa",2240
"12269","Tetraëdron",2237
"10667","Rhizophora",2234
"3526","Cistus",2213
"3398","Chenopodium",2210
"13364","Urtica dioica",2203
"5645","Fraxinus americana",2196
"10439","Quercus pubescens-type",2194
"13366","Urtica dioica-type",2178
"449","Alnus glutinosa/A. incana",2175
"327","Alchemilla",2172
"11845","Spermatophyta undiff. (aquatics)",2169
"12393","Tilletia sphagni",2167
"6819","Iva annua-type",2164
"9480","Plantago major-type",2144
"11389","Sedum-type",2133
"2088","Cannabis-type",2124
"5886","Fungi undiff.",2116
"8776","Oxyria digyna",2116
"5987","Gentiana",2107
"6680","Ilex aquifolium",2102
"11593","Sinapis-type",2101
"9468","Plantago coronopus",2091
"9345","Pinus pinaster",2083
"5644","Fraxinus (tricolpate)",2080
"12767","Ulmus/Zelkova",2075
"11085","Sambucus nigra-type",2072
"10307","Pteridophyta undiff.",2057
"5496","Fagopyrum",2052
"3936","Corylus avellana-type",2050
"11100","Sanguisorba minor-type",2047
"1161","Asphodelus",2042
"13782","Zygnemataceae",2039
"1322","Athyrium",2038
"7094","Larix/Pseudotsuga",2033
"744","Anthemideae",2020
"7533","Lycopodium annotinum-type",2019
"9369","Pinus subg. Pinus-type",2014
"8313","Myriophyllum spicatum/M. verticillatum",2012
"9487","Plantago maritima-type",2001
"4187","Cyatheaceae",1988
"10415","Quercus coccifera",1988
"10663","Rhinanthus-type",1987
"1995","Callitriche",1986
"13691","Xanthium",1984
"9389","Piper",1973
"6807","Isoëtes echinospora",1972
"10975","Rutaceae",1970
"8179","Moraceae",1967
"9063","Persicaria maculosa-type",1967
"9060","Persicaria maculosa",1963
"4829","Empetrum nigrum",1942
"11640","Solanum",1942
"5666","Fraxinus pennsylvanica/F. americana-type",1940
"2017","Caltha",1937
"2152","Carduus-type",1934
"10940","Rumex obtusifolius-type",1929
"4529","Diphasiastrum complanatum",1921
"9616","Poaceae (Cerealia-type) undiff.",1918
"11954","Stachys-type",1912
"5608","Foraminifera",1901
"1578","Betula/Corylus/Myrica",1900
"10907","Rumex alpinus",1891
"1557","Betula pendula subsp. mandshurica",1879
"9584","Poaceae (<40 µm)",1878
"12644","Triticum",1865
"10398","Quercus (deciduous-type)",1860
"10545","Ranunculus sect. Batrachium-type",1854
"422","Allium-type",1844
"10443","Quercus robur",1844
"658","Anemone nemorosa-type",1822
"3520","Cistaceae",1819
"2471","Ceratophyllum",1810
"5664","Fraxinus pennsylvanica",1809
"7862","Melaleuca",1802
"1554","Betula nana-type",1794
"5646","Fraxinus americana-type",1781
"4111","Cupressaceae undiff.",1773
"457","Alnus rubra-type",1765
"2296","Ceanothus",1754
"11748","Spermacoce",1752
"3474","Cichorioideae undiff.",1743
"1192","Assulina muscorum",1742
"11137","Sapotaceae",1742
"7986","Micranthes stellaris-type",1740
"12919","Unknown (pre-Quaternary)",1735
"9154","Phragmites-type",1732
"11568","Silene-type",1731
"4113","Cupressaceae/Taxaceae",1730
"9973","Populus tremula",1728
"5963","Gelasinospora",1727
"11294","Sciadopitys",1726
"2154","Carex",1718
"3614","Clethra",1716
"10097","Proteaceae",1716
"4027","Croton",1709
"8287","Myricaceae",1704
"7494","Lycopodiaceae (foveolate)",1698
"786","Anthospermum",1684
"965","Archerella flavum",1680
"3989","Crassulaceae",1676
"1556","Betula pendula",1668
"4210","Cyclachaena xanthiifolia-type",1667
"12467","Transects across slide",1662
"9374","Pinus subg. Strobus-type",1661
"7567","Lycopodium undiff.",1655
"10202","Pseudoschizaea",1653
"11723","Sparganium emersum-type",1653
"1108","Artemisia vulgaris-type",1636
"1109","Artemisia-type",1636
"12214","Taxodium",1630
"8474","Nothofagus dombeyi-type",1625
"6075","Geum-type",1618
"4657","Drosera",1609
"4673","Dryas",1598
"9307","Pinus cembra-type",1595
"1617","Bistorta officinalis-type",1592
"11342","Scrophulariaceae undiff.",1582
"9276","Pinaceae undiff.",1569
"1781","Brassica-type",1560
"12583","Trifolium pratense-type",1559
"5643","Fraxinus (tetracolpate)",1557
"1563","Betula pubescens-type",1550
"6698","Impatiens",1549
"11086","Sambucus nigra/S. racemosa",1547
"5392","Exotic",1541
"10952","Rumex subg. Acetosa",1541
"9047","Persicaria amphibia",1537
"6007","Gentiana pneumonanthe-type",1535
"7449","Lotus",1534
"8835","Papaveraceae",1531
"12657","Trollius europaeus",1528
"12143","Syzygium",1527
"10194","Pseudopediastrum boryanum var. longicorne",1523
"6522","Humulus-type",1521
"122","Achillea",1519
"7227","Leptosporangiatae",1519
"1092","Artemisia herba-alba-type",1516
"2495","Cercophora-type",1508
"4831","Empetrum-type",1506
"10681","Rhododendron",1505
"13748","Zea mays",1501
"6728","Indeterminable/Varia",1499
"756","Anthoceros",1493
"9823","Polypodiales",1492
"11567","Silene vulgaris-type",1491
"4961","Erica-type",1485
"2264","Casuarina",1483
"4890","Ephedra fragilis",1483
"12352","Thymelaeaceae",1481
"10303","Pteridophyta (trilete)",1475
"8965","Pedicularis",1474
"10450","Quercus suber",1471
"10551","Ranunculus undiff.",1464
"13576","Vicia-type",1463
"10416","Quercus coccifera-type",1451
"6210","Gunnera",1449
"9360","Pinus sibirica",1449
"11470","Sequoia",1437
"12195","Taraxacum",1437
"9910","Polypodiophyta (trilete)",1435
"6669","Hystrichosphaeridae",1434
"8285","Myrica/Comptonia",1432
"10741","Riccia",1424
"13376","Urtica/Parietaria",1418
"6709","Indeterminable (concealed)",1417
"13728","Zanthoxylum",1416
"6528","Huperzia",1413
"11881","Spike suspension",1413
"9373","Pinus subg. Strobus undiff.",1412
"12723","Typha/Sparganium undiff.",1407
"12113","Symplocos",1405
"12594","Triglochin",1401
"8868","Parnassia palustris",1399
"8163","Monotoca",1396
"11193","Saxifraga granulata-type",1394
"9705","Polemonium",1391
"9265","Pinaceae",1389
"8094","Misodendrum",1388
"7053","Lamiaceae undiff.",1381
"8208","Morus",1380
"2274","Casuarinaceae",1379
"8215","Mougeotia",1379
"8509","Nymphaea alba",1375
"111","Acer saccharinum",1374
"9893","Polypodiophyta (trilete, psilate)",1369
"8593","Oleaceae",1366
"9568","Plumbaginaceae",1366
"12566","Trifolium",1359
"587","Anacardiaceae",1358
"4675","Dryas octopetala",1358
"6875","Juncaceae",1357
"3817","Convolvulus",1350
"9192","Phyllocladus",1350
"7610","Lysimachia vulgaris-type",1349
"6767","Iridaceae",1345
"9226","Picea obovata",1342
"6533","Huperzia lucidula",1341
"8556","Odontites-type",1340
"11878","Spheroidal carbonaceous particle",1340
"6283","Haloragis",1339
"3937","Corylus cornuta",1338
"1551","Betula nana subsp. exilis",1333
"9312","Pinus contorta",1333
"11333","Scrophularia-type",1333
"9955","Pomaderris",1328
"5505","Fagus grandifolia",1325
"2485","Cercocarpus",1323
"4757","Echium",1320
"9260","Pimpinella major-type",1315
"10199","Pseudopediastrum kawraiskyi",1315
"3553","Cladium",1314
"12326","Thelypteris",1313
"9203","Phyteuma",1312
"10209","Pseudotsuga menziesii",1312
"4525","Diphasiastrum alpinum",1311
"142","Aconitum",1306
"7843","Maytenus",1306
"4937","Erica arborea",1300
"6269","Hagenia abyssinica",1300
"804","Anthriscus sylvestris-type",1298
"2388","Centaurea scabiosa",1290
"5024","Eryngium",1290
"6838","Jasione",1285
"2085","Cannabis",1280
"6833","Jamesonia",1280
"12374","Tilia platyphyllos",1278
"9938","Polypodium vulgare-type",1277
"416","Allium",1275
"6841","Jasione-type",1275
"8009","Microthyrium",1272
"2151","Carduus",1271
"8152","Monoletes (psilate)",1271
"11687","Sorbus aucuparia",1268
"10966","Ruppia",1267
"8752","Other plants",1266
"3833","Coprosma",1265
"8286","Myrica/Comptonia peregrina",1265
"2053","Campanula-type",1264
"50","Acaena",1260
"7464","Ludwigia",1256
"10855","Rubiaceae undiff.",1255
"7971","Miconia",1252
"425","Allophylus",1250
"8577","Olea capensis",1245
"12076","Succisa pratensis",1238
"6725","Indeterminable (unidentified)",1234
"9222","Picea glauca-type",1228
"13526","Veronica",1227
"10497","Ranunculus acris",1225
"6222","Gymnocarpium",1220
"5361","Euphorbiaceae undiff.",1214
"1482","Begonia",1207
"9967","Populus balsamifera-type",1207
"5098","Euclea",1203
"13615","Viscum album",1202
"355","Algae",1197
"2000","Callitris",1196
"3568","Classopollis",1192
"2145","Cardueae",1182
"8879","Paronychia-type",1179
"4112","Cupressaceae-type",1178
"12198","Taraxacum-type",1167
"12391","Tilletia",1167
"6961","Knautia",1166
"12146","Syzygium-type",1165
"7216","Leptospermum",1164
"11371","Secale-type",1163
"6261","Habrotrocha angusticollis",1162
"7641","Macaranga-type",1157
"13717","Xyris",1157
"10661","Rhinanthus",1155
"9657","Poaceae undiff. (<40 µm)",1152
"9232","Picea sect. Eupicea",1148
"7269","Liliaceae undiff.",1147
"1927","Buxus sempervirens",1146
"10962","Rumex/Oxyria",1144
"11201","Saxifraga oppositifolia",1143
"1898","Bupleurum-type",1137
"10111","Protium",1137
"6817","Iva",1136
"8465","Nothofagus",1135
"3216","cf. Sorbus aucuparia",1132
"2389","Centaurea scabiosa-type",1129
"690","Angelica-type",1125
"10505","Ranunculus aquatilis-type",1124
"9445","Plantago alpina",1118
"4209","Cyclachaena xanthiifolia",1117
"9911","Polypodiophyta (trilete) undiff.",1117
"505","Alternanthera",1115
"10400","Quercus (evergreen-type)",1110
"13395","Urticalean Rosids undiff.",1108
"11550","Silene dioica-type",1107
"2180","Carpinus-type",1106
"9826","Polypodiales (monolete) undiff.",1105
"11842","Spermatophyta undiff.",1102
"4519","Diospyros",1098
"7531","Lycopodium annotinum subsp. alpestre",1096
"13552","Viburnum opulus",1091
"946","Arbutus",1089
"9700","Polemoniaceae",1087
"1928","Byrsonima",1086
"6818","Iva annua",1086
"7090","Larix laricina",1085
"9921","Polypodiophyta undiff. (monolete, without perine)",1085
"1582","Betulaceae undiff.",1082
"9804","Polylepis/Acaena",1080
"4956","Erica tetralix",1075
"9162","Phyllanthus",1072
"9734","Polygala",1070
"8366","Myrtaceae undiff.",1068
"1210","Asteraceae (high spine)",1065
"13457","Valeriana officinalis",1064
"1581","Betulaceae",1063
"12313","Thalictrum-type",1063
"9590","Poaceae (>40 µm)",1062
"11855","Spermatophyta undiff. (trees)",1061
"2195","Carya ovata",1060
"11868","Sphagnales",1059
"1907","Bursera",1056
"7563","Lycopodium suspension",1056
"9802","Polylepis",1054
"8961","Pediastrum undiff.",1052
"11854","Spermatophyta undiff. (shrubs)",1051
"8579","Olea capensis-type",1049
"2176","Carpinus orientalis",1044
"13775","Zygnema",1042
"7495","Lycopodiaceae (reticulate)",1037
"11859","Spermatophyta undiff. (upland herbs)",1035
"11500","Shepherdia",1034
"11129","Sapium",1023
"10429","Quercus ilex/Q. coccifera",1022
"8813","Pandanus",1021
"10645","Rhamnus-type",1019
"10725","Ribes",1019
"11241","Scenedesmus",1019
"983","Area slide examined",1015
"4939","Erica australis",1013
"1193","Assulina seminulum",1011
"586","Anabaena",1010
"4476","Didymopanax",1007
"117","Acer spicatum",1006
"12727","Uapaca",1006
"8824","Papaver",1005
"3471","Cichorieae",998
"11120","Sapindaceae",997
"566","Amorpha",992
"6545","Huperzia selago-type",990
"1608","Bistorta",989
"2384","Centaurea nigra",989
"9510","Plantago sp.",989
"10642","Rhamnus cathartica",987
"9151","Phragmites",986
"12376","Tilia platyphyllos-type",986
"4524","Diphasiastrum",983
"1438","Banksia",978
"7592","Lysichiton",978
"1727","Bosmina sp.",977
"3397","Chenopodiaceae sensu stricto",975
"12215","Taxodium-type",975
"8472","Nothofagus cunninghamii",973
"10451","Quercus suber-type",966
"9713","Pollen accumulation rate",958
"5562","Filago-type",950
"10304","Pteridophyta (trilete) undiff.",950
"9517","Plantago uniflora",948
"2316","Celastraceae",947
"12720","Typha undiff.",945
"11724","Sparganium erectum",942
"13390","Urticalean Rosids",940
"8158","Monoletes undiff.",936
"2374","Centaurea jacea",934
"4446","Dicksonia",933
"1893","Bupleurum",932
"9692","Podospora-type",932
"456","Alnus rubra",924
"13531","Veronica-type",922
"9298","Pinus albicaulis-type",920
"12292","Teucrium",917
"438","Alnus (tetraporate)",911
"5744","Fungi (type 18, HdV)",908
"10967","Ruppia maritima",908
"10963","Rumex/Oxyria digyna",907
"6687","Ilex/Nemopanthus",904
"11250","Schefflera",904
"9272","Pinaceae (vesiculate) undiff.",902
"8629","Ononis-type",900
"12621","Triletes undiff.",900
"1012","Arecaceae undiff.",898
"2121","Capsella-type",898
"436","Alnus (pentaporate)",896
"6878","Juncus",892
"8735","Osmundastrum cinnamomeum",890
"4126","Cuscuta",888
"9740","Polygalaceae",885
"92","Acer campestre-type",884
"6102","Gleichenia",877
"7087","Larix decidua",877
"7880","Melastomataceae undiff.",877
"9908","Polypodiophyta (trilete, verrucate)",875
"9294","Pinus (haplostellate)",872
"4909","Ephedra viridis-type",870
"9435","Plantaginaceae",870
"10540","Ranunculus repens-type",870
"4958","Erica umbellata",869
"885","Apium-type",865
"1177","Asplenium",865
"3773","Coniferae undiff.",864
"745","Anthemis",861
"2440","Cerastium",861
"6605","Hymenophyllum",861
"386","Algae? (type 225, HdV)",859
"465","Alnus viridis subsp. crispa-type",858
"8188","Moraceae undiff.",850
"6900","Juniperus communis/Thuja occidentalis-type",846
"8023","Mimosa",845
"3812","Convolvulaceae",843
"3769","Coniferae",842
"2234","Cassia",839
"7257","Ligusticum mutellina",839
"10631","Rhamnaceae/Rosaceae/Anacardiaceae",839
"5298","Eugenia",835
"11218","Saxifragaceae undiff.",835
"1457","Bartsia-type",832
"314","Aizoaceae",830
"11900","Spiraea",828
"9233","Picea sect. Omorika",826
"880","Apium",825
"1988","Calligonum",824
"8369","Myrtus",824
"1103","Artemisia sp.",821
"8928","Pediastrum angulosum",819
"12211","Tasmannia",819
"12368","Tilia americana",819
